"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FLWS","1-800 FLOWERS.COM, Inc.","2.45","66519950","1999","Consumer Services","Other Specialty Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FLWS&selected=FLWS",
"FCTY","1st Century Bancshares, Inc","3.5","32543000","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FCTY&selected=FCTY",
"FCCY","1st Constitution Bancorp (NJ)","7","33621000","n/a","Finance","Savings Institutions","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FCCY&selected=FCCY",
"SRCE","1st Source Corporation","22.6","549270400","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SRCE&selected=SRCE",
"FUBC","1st United Bancorp, Inc. (FL)","5.74","175402920","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FUBC&selected=FUBC",
"TCHC","21st Century Holding Company","2.47","19626620","1998","Finance","Property-Casualty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=TCHC&selected=TCHC",
"VNET","21Vianet Group, Inc.","11.06","127190000","n/a","Technology","Computer Software: Programming, Data Processing","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=VNET&selected=VNET",
"SSRX","3SBio Inc.","13.79","300732320","2007","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SSRX&selected=SSRX",
"JOBS","51job, Inc.","55.32","1565058120","2004","Technology","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JOBS&selected=JOBS",
"CRMB","57TH Street General Acquisition Corp","11.75","52804500","n/a","Consumer Non-Durables","Packaged Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRMB&selected=CRMB",
"CRMBU","57TH Street General Acquisition Corp","14.6","233600","n/a","Consumer Non-Durables","Packaged Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRMBU&selected=CRMBU",
"CRMBW","57TH Street General Acquisition Corp","1.88","10257280","n/a","Consumer Non-Durables","Packaged Foods","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRMBW&selected=CRMBW",
"EGHT","8x8 Inc","3.59","222982080","n/a","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EGHT&selected=EGHT",
"SHLM","A. Schulman, Inc.","18.17","560653520","1972","Basic Industries","Major Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SHLM&selected=SHLM",
"ACMR","A.C. Moore Arts & Crafts, Inc.","1.5","38091000","1997","Consumer Services","Recreational Products/Toys","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACMR&selected=ACMR",
"AONE","A123 Systems, Inc.","3.49","439600400","2009","Energy","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AONE&selected=AONE",
"AAON","AAON, Inc.","19.53","483152670","n/a","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAON&selected=AAON",
"ASTM","Aastrom Biosciences, Inc.","2.28","88055880","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASTM&selected=ASTM",
"ABAX","ABAXIS, Inc.","22.25","501025500","1992","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABAX&selected=ABAX",
"ABBC","Abington Bancorp, Inc.","8.54","172226180","n/a","Finance","Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABBC&selected=ABBC",
"ABMD","ABIOMED, Inc.","11.08","419411240","n/a","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABMD&selected=ABMD",
"AXAS","Abraxas Petroleum Corporation","3.55","325655700","n/a","Energy","Oil & Gas Production","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AXAS&selected=AXAS",
"ACTG","Acacia Research Corporation","36.33","1553870430","n/a","Miscellaneous","Multi-Sector Companies","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACTG&selected=ACTG",
"ACAD","ACADIA Pharmaceuticals Inc.","1.4","73789800","1985","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACAD&selected=ACAD",
"ACCL","Accelrys, Inc.","7.01","388276890","1995","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACCL&selected=ACCL",
"ANCX","Access National Corporation","8.1","83664900","n/a","Finance","Savings Institutions","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ANCX&selected=ANCX",
"ARAY","Accuray Incorporated","5.25","367080000","2007","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ARAY&selected=ARAY",
"ACRX","AcelRx Pharmaceuticals, Inc.","3.45","55665750","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACRX&selected=ACRX",
"ACET","Aceto Corporation","5.4","143748000","n/a","Consumer Durables","Specialty Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACET&selected=ACET",
"ACHN","Achillion Pharmaceuticals, Inc.","5.99","407960930","2006","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACHN&selected=ACHN",
"ACIW","ACI Worldwide, Inc.","30.81","1029577770","n/a","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACIW&selected=ACIW",
"APKT","Acme Packet, Inc.","47.785","3470767905","2006","Technology","Computer Communications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=APKT&selected=APKT",
"ACNB","ACNB Corporation","14.97","88831980","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACNB&selected=ACNB",
"ACOR","Acorda Therapeutics, Inc.","25.53","1007464860","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACOR&selected=ACOR",
"ACFN","Acorn Energy, Inc.","4.89","85521210","n/a","Consumer Services","Military/Government/Technical","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACFN&selected=ACFN",
"ACTS","Actions Semiconductor Co., Ltd.","1.98","141142320","2005","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACTS&selected=ACTS",
"ACPW","Active Power, Inc.","1.32","105593400","2000","Public Utilities","Electric Utilities: Central","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACPW&selected=ACPW",
"ATVI","Activision Blizzard, Inc","10.96","12540048400","n/a","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATVI&selected=ATVI",
"BIRT","Actuate Corporation","6.31","290304170","n/a","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=BIRT&selected=BIRT",
"ACUR","Acura Pharmaceuticals, Inc.","2.95","132257350","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACUR&selected=ACUR",
"ACXM","Acxiom Corporation","11.32","918606680","n/a","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACXM&selected=ACXM",
"ADES","ADA-ES, Inc.","16.75","127618250","n/a","Basic Industries","Major Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADES&selected=ADES",
"ADGF","Adams Golf, Inc.","6.67","50918780","n/a","Consumer Non-Durables","Recreational Products/Toys","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADGF&selected=ADGF",
"ADUS","Addus HomeCare Corporation","4.2","45187800","2009","Health Care","Medical/Nursing Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADUS&selected=ADUS",
"AEY","ADDvantage Technologies Group, Inc.","2.3","23393300","n/a","Consumer Services","Office Equipment/Supplies/Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEY&selected=AEY",
"ADEP","Adept Technology, Inc.","3.1999","31160626.2","n/a","Technology","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADEP&selected=ADEP",
"ADBE","Adobe Systems Incorporated","24.81","12515627790","1986","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADBE&selected=ADBE",
"ADLR","Adolor Corporation","2.21","102605880","2000","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADLR&selected=ADLR",
"ADTN","ADTRAN, Inc.","29.79","1926519300","1994","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADTN&selected=ADTN",
"AATI","Advanced Analogic Technologies, Inc.","6.03","259115130","1986","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AATI&selected=AATI",
"ABAT","Advanced Battery Technologies, Inc.","1.16","88878040","n/a","Energy","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABAT&selected=ABAT",
"AEIS","Advanced Energy Industries, Inc.","9.27","403773390","1995","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEIS&selected=AEIS",
"ADVS","Advent Software, Inc.","21.05","1103525200","1995","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADVS&selected=ADVS",
"AVCA","Advocat, Inc.","5.8","33738600","n/a","Health Care","Hospital/Nursing Management","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AVCA&selected=AVCA",
"AEGR","Aegerion Pharmaceuticals, Inc.","14.16","250136400","2010","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEGR&selected=AEGR",
"AEHR","Aehr Test Systems","1.25","11033750","1997","Capital Goods","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEHR&selected=AEHR",
"AEPI","AEP Industries Inc.","24.91","152872670","1986","Capital Goods","Specialty Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEPI&selected=AEPI",
"AVAV","AeroVironment, Inc.","26.61","580710030","2007","Capital Goods","Aerospace","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AVAV&selected=AVAV",
"AEZS","AEterna Zentaris, Inc.","1.64","156100120","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AEZS&selected=AEZS",
"ATRM","Aetrium Incorporated","1.44","15524640","1993","Capital Goods","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATRM&selected=ATRM",
"AFCE","AFC Enterprises, Inc.","14.94","369914400","n/a","Consumer Services","Restaurants","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AFCE&selected=AFCE",
"AFFM","Affirmative Insurance Holdings, Inc.","1.76","27881920","2004","Finance","Property-Casualty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AFFM&selected=AFFM",
"AFFY","Affymax, Inc.","4.24","150028160","2006","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AFFY&selected=AFFY",
"AFFX","Affymetrix, Inc.","4.39","309512560","1996","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AFFX&selected=AFFX",
"AGEN","Agenus Inc.","0.57","64615770","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AGEN&selected=AGEN",
"FEED","AgFeed Industries, Inc.","1.07","67892570","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FEED&selected=FEED",
"AGYS","Agilysys, Inc.","7.1","163669200","n/a","Consumer Non-Durables","Electronic Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AGYS&selected=AGYS",
"AIRM","Air Methods Corporation","63.94","809224640","n/a","Transportation","Transportation Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AIRM&selected=AIRM",
"AIRT","Air T, Inc.","8.4792","20740123.2","n/a","Transportation","Air Freight/Delivery Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AIRT&selected=AIRT",
"ATSG","Air Transport Services Group, Inc","5.22","334904760","n/a","Transportation","Air Freight/Delivery Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATSG&selected=ATSG",
"AMCN","AirMedia Group Inc","2.51","165572150","1995","Technology","Advertising","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMCN&selected=AMCN",
"AIXG","Aixtron SE","25.43","2573007400","n/a","Technology","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AIXG&selected=AIXG",
"AKAM","Akamai Technologies, Inc.","21.89","4087016230","1999","Miscellaneous","Business Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AKAM&selected=AKAM",
"AKRX","Akorn, Inc.","7.66","724253000","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AKRX&selected=AKRX",
"ALSK","Alaska Communications Systems Group, Inc.","6.83","308504270","1999","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALSK&selected=ALSK",
"AMRI","Albany Molecular Research, Inc.","3.85","116701200","1999","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMRI&selected=AMRI",
"ALXN","Alexion Pharmaceuticals, Inc.","49.85","9164174750","1996","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALXN&selected=ALXN",
"ALXA","Alexza Pharmaceuticals, Inc.","1.22","87976640","2006","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALXA&selected=ALXA",
"ALCO","Alico, Inc.","25.34","186147640","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALCO&selected=ALCO",
"ALGN","Align Technology, Inc.","18.28","1422494760","2001","Health Care","Industrial Specialties","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALGN&selected=ALGN",
"ALIM","Alimera Sciences, Inc.","7.13","223511240","2010","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALIM&selected=ALIM",
"ALKS","Alkermes, Inc.","14.74","1411089680","1991","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALKS&selected=ALKS",
"ALGT","Allegiant Travel Company","45.35","863464000","2006","Transportation","Air Freight/Delivery Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALGT&selected=ALGT",
"ALLB","Alliance Bancorp, Inc. of Pennsylvania","10.25","56108500","n/a","Finance","Savings Institutions","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALLB&selected=ALLB",
"ABVA","Alliance Bankshares Corporation","4.55","23245950","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABVA&selected=ABVA",
"AFOP","Alliance Fiber Optic Products, Inc.","8.18","72278480","2000","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AFOP&selected=AFOP",
"ALNC","Alliance Financial Corporation","31.99","151792550","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALNC&selected=ALNC",
"AHGP","Alliance Holdings GP, L.P.","45.92","2748908960","2006","Energy","Coal Mining","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AHGP&selected=AHGP",
"ARLP","Alliance Resource Partners, L.P.","69.37","2547058290","1999","Energy","Coal Mining","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ARLP&selected=ARLP",
"AHCI","Allied HealthCare International Inc.","3.78","164698380","n/a","Health Care","Medical/Nursing Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AHCI&selected=AHCI",
"AHPI","Allied Healthcare Products, Inc.","3.57","29002680","1992","Health Care","Industrial Specialties","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AHPI&selected=AHPI",
"AMOT","Allied Motion Technologies, Inc.","5.25","44446500","n/a","Capital Goods","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMOT&selected=AMOT",
"ALTH","Allos Therapeutics, Inc.","1.83","193273620","2000","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALTH&selected=ALTH",
"ALLT","Allot Communications Ltd.","13.06","316065060","2006","Technology","Computer Communications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALLT&selected=ALLT",
"MDRX","Allscripts Healthcare Solutions, Inc.","15.47","2942827160","1999","Technology","EDP Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MDRX&selected=MDRX",
"AFAM","Almost Family Inc","18.14","169518300","n/a","Health Care","Medical/Nursing Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AFAM&selected=AFAM",
"ALNY","Alnylam Pharmaceuticals, Inc.","7.15","303217200","2004","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALNY&selected=ALNY",
"AOSL","Alpha and Omega Semiconductor Limited","9.97","220606190","2010","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AOSL&selected=AOSL",
"ATEC","Alphatec Holdings, Inc.","2.33","207663580","2006","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATEC&selected=ATEC",
"ALTI","Altair Nanotechnologies Inc.","1.23","37657680","n/a","Basic Industries","Major Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALTI&selected=ALTI",
"ALTR","Altera Corporation","35.68","11496952320","1988","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALTR&selected=ALTR",
"ALTE","Alterra Capital Holdings Ltd","19.06","2017996560","n/a","Finance","Property-Casualty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALTE&selected=ALTE",
"ASPS","Altisource Portfolio Solutions S.A.","32.39","823127070","n/a","Consumer Services","Other Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASPS&selected=ASPS",
"APSA","Alto Palermo S.A.","18.5","361712000","n/a","Consumer Services","Building operators","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=APSA&selected=APSA",
"AIMC","Altra Holdings, Inc.","15.92","427690800","2006","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AIMC&selected=AIMC",
"ALVR","Alvarion Ltd.","1.21","75384210","n/a","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALVR&selected=ALVR",
"AMAG","AMAG Pharmaceuticals, Inc.","14.94","316130400","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMAG&selected=AMAG",
"AMRN","Amarin Corporation PLC","10.81","1375269820","1995","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMRN&selected=AMRN",
"AMZN","Amazon.com, Inc.","205.09","92709498870","1997","Consumer Services","Catalog/Specialty Distribution","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMZN&selected=AMZN",
"EPAX","Ambassadors Group, Inc.","7.69","136113000","n/a","Consumer Services","Other Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EPAX&selected=EPAX",
"AMBT","Ambient Corporation","8.41","138924790","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMBT&selected=AMBT",
"AMCX","AMC Networks Inc.","31.06","1798374000","n/a","Consumer Services","Television Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMCX&selected=AMCX",
"AMED","Amedisys Inc","17.54","516973960","1987","Health Care","Medical/Nursing Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMED&selected=AMED",
"UHAL","Amerco","76.48","1499619840","n/a","Consumer Services","Rental/Leasing Companies","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=UHAL&selected=UHAL",
"ASBI","Ameriana Bancorp","4.5","13450500","n/a","Finance","Savings Institutions","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASBI&selected=ASBI",
"ATAX","America First Tax Exempt Investors, L.P.","5.32","160254360","n/a","Finance","Finance: Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATAX&selected=ATAX",
"AMOV","America Movil, S.A.B. de C.V.","22.96","451164000","n/a","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMOV&selected=AMOV",
"AGNC","American Capital Agency Corp.","29.775","5122163475","1983","Consumer Services","Real Estate Investment Trusts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AGNC&selected=AGNC",
"MTGE","American Capital Mortgage Investment Corp.","19.4","363866400","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MTGE&selected=MTGE",
"ACAS","American Capital, Ltd.","8.32","2934181120","1997","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACAS&selected=ACAS",
"ANCI","American Caresource Holdings Inc","0.9","15255000","n/a","Health Care","Hospital/Nursing Management","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ANCI&selected=ANCI",
"ADPI","American Dental Partners, Inc.","10.98","169388460","1998","Health Care","Hospital/Nursing Management","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADPI&selected=ADPI",
"AETI","American Electric Technologies, Inc.","3.39","26516580","n/a","Energy","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AETI&selected=AETI",
"AMIC","American Independence Corp.","5","42600000","n/a","Finance","Accident &Health Insurance","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMIC&selected=AMIC",
"ALRN","American Learning Corporation","1.98","9414900","1984","Health Care","Medical/Nursing Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ALRN&selected=ALRN",
"AMAC","American Medical Alert Corp.","5.09","48960710","n/a","Consumer Services","Other Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMAC&selected=AMAC",
"AMNB","American National Bankshares, Inc.","19.41","151068030","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMNB&selected=AMNB",
"ANAT","American National Insurance Company","76.57","2053683970","n/a","Finance","Life Insurance","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ANAT&selected=ANAT",
"APFC","American Pacific Corporation","7.1","53676000","n/a","Basic Industries","Major Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=APFC&selected=APFC",
"APEI","American Public Education, Inc.","41.99","750907170","2007","Consumer Services","Other Consumer Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=APEI&selected=APEI",
"ARII","American Railcar Industries, Inc.","17.2","367254400","2006","Capital Goods","Railroads","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ARII&selected=ARII",
"AMRB","American River Bankshares","5.5","54301500","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMRB&selected=AMRB",
"ASEI","American Science and Engineering, Inc.","58.86","534389940","n/a","Health Care","Medical Electronics","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASEI&selected=ASEI",
"AMSWA","American Software, Inc.","7.81","180856170","n/a","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMSWA&selected=AMSWA",
"AMSC","American Superconductor Corporation","6.43","326013860","1991","Consumer Durables","Metal Fabrications","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMSC&selected=AMSC",
"AMWD","American Woodmark Corporation","16.77","239475600","1986","Basic Industries","Forest Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMWD&selected=AMWD",
"CRMT","America's Car-Mart, Inc.","32.1","340356300","n/a","Consumer Durables","Automotive Aftermarket","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CRMT&selected=CRMT",
"ARGN","Amerigon Incorporated","13.4","298002600","n/a","Capital Goods","Auto Parts:O.E.M.","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ARGN&selected=ARGN",
"ABCB","Ameris Bancorp","9.82","233382120","1994","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABCB&selected=ABCB",
"AMSF","AMERISAFE, Inc.","19.27","354490920","2005","Finance","Property-Casualty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMSF&selected=AMSF",
"ASRV","AmeriServ Financial Inc.","1.56","33084480","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASRV&selected=ASRV",
"ASRVP","AmeriServ Financial Inc.","25","12025000","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASRVP&selected=ASRVP",
"ASCA","Ameristar Casinos, Inc.","20.46","659262120","1993","Consumer Services","Hotels/Resorts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASCA&selected=ASCA",
"AMTC","Ameritrans Capital Corporation","0.9501","3226539.6","1989","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMTC&selected=AMTC",
"AMTCP","Ameritrans Capital Corporation","11.03","3309000","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMTCP&selected=AMTCP",
"ATLO","Ames National Corporation","18.21","171774930","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ATLO&selected=ATLO",
"AMGN","Amgen Inc.","50.55","46997902050","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMGN&selected=AMGN",
"FOLD","Amicus Therapeutics, Inc.","4.47","154286520","2007","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FOLD&selected=FOLD",
"AMKR","Amkor Technology, Inc.","4.47","884890140","1998","Technology","Semiconductors","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMKR&selected=AMKR",
"AMPL","Ampal-American Israel Corporation","0.5789","32495972.6","n/a","Finance","Finance/Investors Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AMPL&selected=AMPL",
